# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GDExtensionInterfaceDictionaryGetTypedValueTypeDescriptor	FoundryExtensionInterfaceDictionaryGetTypedValueTypeDescriptor	B	code	generated
GDExtensionsInterfaceEditorHelpLoadXmlFromUtf8CharsAndLen	FoundryExtensionsInterfaceEditorHelpLoadXmlFromUtf8CharsAndLen	B	code	generated
GDExtensionInterfaceDictionaryGetTypedKeyTypeDescriptor	FoundryExtensionInterfaceDictionaryGetTypedKeyTypeDescriptor	B	code	generated
GDExtensionInterfaceArrayGetTypedElementTypeDescriptor	FoundryExtensionInterfaceArrayGetTypedElementTypeDescriptor	B	code	generated
GDExtensionInterfacePlaceHolderScriptInstanceCreate	FoundryExtensionInterfacePlaceHolderScriptInstanceCreate	B	code	generated
GDExtensionInterfacePlaceHolderScriptInstanceUpdate	FoundryExtensionInterfacePlaceHolderScriptInstanceUpdate	B	code	generated
GDExtensionsInterfaceEditorHelpLoadXmlFromUtf8Chars	FoundryExtensionsInterfaceEditorHelpLoadXmlFromUtf8Chars	B	code	generated
GDExtensionInterfaceDictionarySetTypedByDescriptor	FoundryExtensionInterfaceDictionarySetTypedByDescriptor	B	code	generated
GDExtensionInterfaceGetVariantGetInternalPtrFunc	FoundryExtensionInterfaceGetVariantGetInternalPtrFunc	B	code	generated
GDExtensionScriptInstanceGetMethodArgumentCount	FoundryExtensionScriptInstanceGetMethodArgumentCount	B	code	generated
GDExtensionInterfaceArraySetTypedByDescriptor	FoundryExtensionInterfaceArraySetTypedByDescriptor	B	code	generated
GDExtensionInterfaceCallableCustomGetUserData	FoundryExtensionInterfaceCallableCustomGetUserData	B	code	generated
GDExtensionScriptInstanceRefCountDecremented	FoundryExtensionScriptInstanceRefCountDecremented	B	code	generated
GDExtensionScriptInstanceRefCountIncremented	FoundryExtensionScriptInstanceRefCountIncremented	B	code	generated
GDExtensionInstanceBindingReferenceCallback	FoundryExtensionInstanceBindingReferenceCallback	B	code	generated
GDExtensionScriptInstanceFreePropertyList2	FoundryExtensionScriptInstanceFreePropertyList2	B	code	generated
GDExtensionScriptInstancePropertyCanRevert	FoundryExtensionScriptInstancePropertyCanRevert	B	code	generated
GDExtensionScriptInstancePropertyGetRevert	FoundryExtensionScriptInstancePropertyGetRevert	B	code	generated
GDExtensionCallableCustomGetArgumentCount	FoundryExtensionCallableCustomGetArgumentCount	B	code	generated
GDExtensionScriptInstanceFreePropertyList	FoundryExtensionScriptInstanceFreePropertyList	B	code	generated
GDExtensionScriptInstanceGetClassCategory	FoundryExtensionScriptInstanceGetClassCategory	B	code	generated
GDExtensionScriptInstanceGetPropertyState	FoundryExtensionScriptInstanceGetPropertyState	B	code	generated
GDExtensionScriptInstancePropertyStateAdd	FoundryExtensionScriptInstancePropertyStateAdd	B	code	generated
GDExtensionScriptInstanceValidateProperty	FoundryExtensionScriptInstanceValidateProperty	B	code	generated
GDExtensionTypeFromVariantConstructorFunc	FoundryExtensionTypeFromVariantConstructorFunc	B	code	generated
GDExtensionVariantFromTypeConstructorFunc	FoundryExtensionVariantFromTypeConstructorFunc	B	code	generated
GDExtensionInstanceBindingCreateCallback	FoundryExtensionInstanceBindingCreateCallback	B	code	generated
GDExtensionScriptInstanceFreeMethodList2	FoundryExtensionScriptInstanceFreeMethodList2	B	code	generated
GDExtensionScriptInstanceGetPropertyList	FoundryExtensionScriptInstanceGetPropertyList	B	code	generated
GDExtensionScriptInstanceGetPropertyType	FoundryExtensionScriptInstanceGetPropertyType	B	code	generated
GDExtensionEditorGetClassesUsedCallback	FoundryExtensionEditorGetClassesUsedCallback	B	code	generated
GDExtensionLegacyInitializationFunction	FoundryExtensionLegacyInitializationFunction	B	code	generated
GDExtensionScriptInstanceFreeMethodList	FoundryExtensionScriptInstanceFreeMethodList	B	code	generated
GDExtensionClassMethodArgumentMetadata	FoundryExtensionClassMethodArgumentMetadata	B	code	generated
GDExtensionInstanceBindingFreeCallback	FoundryExtensionInstanceBindingFreeCallback	B	code	generated
GDExtensionScriptInstanceGetMethodList	FoundryExtensionScriptInstanceGetMethodList	B	code	generated
GDExtensionScriptInstanceIsPlaceholder	FoundryExtensionScriptInstanceIsPlaceholder	B	code	generated
GDExtensionScriptInstanceNotification2	FoundryExtensionScriptInstanceNotification2	B	code	generated
GDExtensionScriptInstanceNotification	FoundryExtensionScriptInstanceNotification	B	code	generated
