# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
_INVALID_GDVIRTUAL_FUNC_ADDR	_INVALID_FOUNDRY_VIRTUAL_FUNC_ADDR	C	code	gdvirtual sentinel constant
GDVIRTUAL_IS_OVERRIDDEN_PTR	FOUNDRY_VIRTUAL_IS_OVERRIDDEN_PTR	C	code	generated
GDREGISTER_ABSTRACT_CLASS	FOUNDRY_REGISTER_ABSTRACT_CLASS	C	code
GDREGISTER_INTERNAL_CLASS	FOUNDRY_REGISTER_INTERNAL_CLASS	C	code	generated
GDREGISTER_NATIVE_STRUCT	FOUNDRY_REGISTER_NATIVE_STRUCT	C	code	generated
GDREGISTER_RUNTIME_CLASS	FOUNDRY_REGISTER_RUNTIME_CLASS	C	code	generated
GDREGISTER_VIRTUAL_CLASS	FOUNDRY_REGISTER_VIRTUAL_CLASS	C	code	generated
GDVIRTUAL_IS_OVERRIDDEN	FOUNDRY_VIRTUAL_IS_OVERRIDDEN	C	code	generated
GDVIRTUAL0RC_REQUIRED	FOUNDRY_VIRTUAL0RC_REQUIRED	C	code	generated
GDVIRTUAL10R_REQUIRED	FOUNDRY_VIRTUAL10R_REQUIRED	C	code	generated
GDVIRTUAL1RC_REQUIRED	FOUNDRY_VIRTUAL1RC_REQUIRED	C	code	generated
GDVIRTUAL2RC_REQUIRED	FOUNDRY_VIRTUAL2RC_REQUIRED	C	code	generated
GDVIRTUAL3RC_REQUIRED	FOUNDRY_VIRTUAL3RC_REQUIRED	C	code	generated
GDVIRTUAL4RC_REQUIRED	FOUNDRY_VIRTUAL4RC_REQUIRED	C	code	generated
GDVIRTUAL5RC_REQUIRED	FOUNDRY_VIRTUAL5RC_REQUIRED	C	code	generated
GDVIRTUAL6RC_REQUIRED	FOUNDRY_VIRTUAL6RC_REQUIRED	C	code	generated
GDVIRTUAL7RC_REQUIRED	FOUNDRY_VIRTUAL7RC_REQUIRED	C	code	generated
GDVIRTUAL8RC_REQUIRED	FOUNDRY_VIRTUAL8RC_REQUIRED	C	code	generated
GDVIRTUAL_BIND_COMPAT	FOUNDRY_VIRTUAL_BIND_COMPAT	C	code	generated
GDVIRTUAL0R_REQUIRED	FOUNDRY_VIRTUAL0R_REQUIRED	C	code	generated
GDVIRTUAL1R_REQUIRED	FOUNDRY_VIRTUAL1R_REQUIRED	C	code	generated
GDVIRTUAL2C_REQUIRED	FOUNDRY_VIRTUAL2C_REQUIRED	C	code	generated
GDVIRTUAL2R_REQUIRED	FOUNDRY_VIRTUAL2R_REQUIRED	C	code	generated
GDVIRTUAL3R_REQUIRED	FOUNDRY_VIRTUAL3R_REQUIRED	C	code	generated
GDVIRTUAL4R_REQUIRED	FOUNDRY_VIRTUAL4R_REQUIRED	C	code	generated
GDVIRTUAL5R_REQUIRED	FOUNDRY_VIRTUAL5R_REQUIRED	C	code	generated
GDVIRTUAL6R_REQUIRED	FOUNDRY_VIRTUAL6R_REQUIRED	C	code	generated
GDVIRTUAL7C_REQUIRED	FOUNDRY_VIRTUAL7C_REQUIRED	C	code	generated
GDVIRTUAL7R_REQUIRED	FOUNDRY_VIRTUAL7R_REQUIRED	C	code	generated
GDVIRTUAL8C_REQUIRED	FOUNDRY_VIRTUAL8C_REQUIRED	C	code	generated
GDVIRTUAL8R_REQUIRED	FOUNDRY_VIRTUAL8R_REQUIRED	C	code	generated
GDVIRTUAL9R_REQUIRED	FOUNDRY_VIRTUAL9R_REQUIRED	C	code	generated
GDVIRTUAL_NATIVE_PTR	FOUNDRY_VIRTUAL_NATIVE_PTR	C	code	generated
GDVIRTUAL0_REQUIRED	FOUNDRY_VIRTUAL0_REQUIRED	C	code	generated
GDVIRTUAL1RC_COMPAT	FOUNDRY_VIRTUAL1RC_COMPAT	C	code	generated
GDVIRTUAL1_REQUIRED	FOUNDRY_VIRTUAL1_REQUIRED	C	code	generated
GDVIRTUAL2_REQUIRED	FOUNDRY_VIRTUAL2_REQUIRED	C	code	generated
GDVIRTUAL3_REQUIRED	FOUNDRY_VIRTUAL3_REQUIRED	C	code	generated
GDVIRTUAL4_REQUIRED	FOUNDRY_VIRTUAL4_REQUIRED	C	code	generated
GDVIRTUAL5_REQUIRED	FOUNDRY_VIRTUAL5_REQUIRED	C	code	generated
GDVIRTUAL0R_COMPAT	FOUNDRY_VIRTUAL0R_COMPAT	C	code	generated
GDVIRTUAL1R_COMPAT	FOUNDRY_VIRTUAL1R_COMPAT	C	code	generated
GDVIRTUAL6C_COMPAT	FOUNDRY_VIRTUAL6C_COMPAT	C	code	generated
GDVIRTUAL7C_COMPAT	FOUNDRY_VIRTUAL7C_COMPAT	C	code	generated
GDVIRTUAL_CALL_PTR	FOUNDRY_VIRTUAL_CALL_PTR	C	code	generated
GDVIRTUAL3_COMPAT	FOUNDRY_VIRTUAL3_COMPAT	C	code	generated
GDREGISTER_CLASS	FOUNDRY_REGISTER_CLASS	C	code
GDVIRTUAL_BIND	FOUNDRY_VIRTUAL_BIND	C	code	generated
GDVIRTUAL_CALL	FOUNDRY_VIRTUAL_CALL	C	code	generated
GDVIRTUAL0RC	FOUNDRY_VIRTUAL0RC	C	code	generated
GDVIRTUAL1RC	FOUNDRY_VIRTUAL1RC	C	code	generated
GDVIRTUAL2RC	FOUNDRY_VIRTUAL2RC	C	code	generated
