# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
SetPropertiesForGenerateGodotNupkgsVersions	SetPropertiesForGenerateFoundryNupkgsVersions	D	code	MSBuild target
GenerateGodotNupkgsVersions.targets	GenerateFoundryNupkgsVersions.targets	D	both	MSBuild targets filename
GeneratedGodotNupkgsVersionsFile	GeneratedFoundryNupkgsVersionsFile	D	code	MSBuild property
_GenerateGodotNupkgsVersionsFile	_GenerateFoundryNupkgsVersionsFile	D	code	MSBuild target
GenerateGodotNupkgsVersionsCode	GenerateFoundryNupkgsVersionsCode	D	code	MSBuild property
GenerateGodotNupkgsVersionsFile	GenerateFoundryNupkgsVersionsFile	D	code	MSBuild target
GeneratedGodotNupkgsVersions	GeneratedFoundryNupkgsVersions	D	code	C# generated class
GodotEditorSplashScreenTheme	FoundryEditorSplashScreenTheme	D	code	Android resource style
GodotUnhandledExceptionEvent	FoundryUnhandledExceptionEvent	D	code	C# source filename
GenerateGodotNupkgsVersions	GenerateFoundryNupkgsVersions	D	code	MSBuild target/file stem
GodotSwiftUIViewController	FoundrySwiftUIViewController	D	code	Swift UI wrapper type
GodotEmbeddedGameTheme	FoundryEmbeddedGameTheme	D	code	Android resource style
GodotApiAssembliesDir	FoundryApiAssembliesDir	D	code	MSBuild property
GodotObjectExtensions	FoundryObjectExtensions	D	code	C# source filename
GodotEditorTheme	FoundryEditorTheme	D	code	Android resource style
GodotMemberData	FoundryMemberData	D	code	C# source filename
godotengine.org	cafecito.games	D	both
GodotGameTheme	FoundryGameTheme	D	code	Android resource style
GODOT_VERSION	FOUNDRY_VERSION	D	code
project.godot	project.foundry	D	both
Godot Engine	Foundry	D	prose
GodotEnums	FoundryEnums	D	code	C# source filename
GDScript	Foundry Script	D	prose	user-facing prose (handle in docs/translations pass)
